pid,nome,squadra,ruolo,ruolo_mantra,pfc,pma,pfc_range,pma_range,pfc_lo,pfc_hi,pma_lo,pma_hi,unc_pfc,dpfcpma,slot,tit,expfm,fascia,status,pen_prob,fk_prob,tix,fix,fix_contrib
023ff2d9f1ae687a,GUDMUNDSSON A.,Lazio,C,T;A,28.7,20.150000000000002,23-35,18-24,23.0,35.0,18.0,24.0,6.0,9.0,3,88.0,6.74,OttimoTit,B,20.0,0.0,76.6,89.3,0.651
3020fe26038f142e,MCKENNIE,Juventus,C,C;T,26.25,24.75,21-32,22-28,21.0,32.0,22.0,28.0,5.5,1.0,3,84.0,6.75,OttimoTit,B,0.0,0.0,57.0,88.8,0.63
ec269613f05be88f,MOREIRA,Milan,C,E;W,22.8,20.1,18-29,17-25,18.0,29.0,17.0,25.0,5.5,3.0,3,88.0,6.7,OttimoTit,B,0.0,0.0,76.6,88.3,0.616
e7bf277e8518431c,JONES C.,Inter,C,C,22.700000000000003,16.0,18-29,13-20,18.0,29.0,13.0,20.0,5.5,7.0,3,90.0,6.67,OttimoTit,B,0.0,0.0,86.2,87.8,0.603
735ac0ec3af0b7ee,FRATTESI,Lazio,C,C;T,22.55,37.0,17-29,34-41,17.0,29.0,34.0,41.0,6.0,-14.0,3,91.0,6.65,OttimoTit,T,0.0,0.0,88.3,86.2,0.592
f18a9e848e876578,GONCALVES P.,Fiorentina,C,W;T,22.349999999999998,21.15,17-28,17-26,17.0,28.0,17.0,26.0,5.5,1.0,3,90.0,6.66,OttimoTit,T,0.0,10.0,86.2,87.2,0.594
dd9730d018b8d520,EKKELENKAMP,Udinese,C,C;T,21.6,23.5,17-27,21-27,17.0,27.0,21.0,27.0,5.0,-2.0,3,92.0,6.63,OttimoTit,T,10.0,20.0,94.3,84.6,0.58
c7602e793fa92ca4,KESSIÈ,Atalanta,C,C,19.5,16.85,15-25,15-20,15.0,25.0,15.0,20.0,5.0,3.0,3,88.0,6.67,OttimoTit,B,70.0,0.0,76.6,85.7,0.59
d15feaa203e6bfad,EDERSON D.S.,Atalanta,C,M;C,19.15,32.099999999999994,15-24,28-37,15.0,24.0,28.0,37.0,4.5,-13.0,3,92.0,6.61,OttimoTit,T,0.0,0.0,94.3,83.3,0.561
b1c1ad4ef6dbb046,POLITANO,Napoli,C,W,19.15,10.0,15-24,8-13,15.0,24.0,8.0,13.0,4.5,9.0,3,88.0,6.66,OttimoTit,T,10.0,20.0,76.6,85.2,0.581
1f4c91f1d4c5ed70,KONÈ M.,Roma,C,M;C,19.05,30.8,15-24,27-36,15.0,24.0,27.0,36.0,4.5,-12.0,4,92.0,6.61,OttimoTit,T,0.0,0.0,94.3,83.3,0.561
3644868f726740bc,SAMARDZIC,Atalanta,C,C;T,19.0,20.7,15-24,18-24,15.0,24.0,18.0,24.0,4.5,-2.0,4,86.0,6.69,OttimoTit,B,0.0,70.0,64.6,86.7,0.593
f98e4a5ec7b5e482,TAYLOR K.,Lazio,C,C;T,17.5,18.65,14-22,16-22,14.0,22.0,16.0,22.0,4.0,-1.0,4,92.0,6.58,OttimoTit,T,0.0,10.0,94.3,81.5,0.534
ed01aa3d8ad2a0ae,ZAMBO ANGUISSA,Napoli,C,C,16.6,13.350000000000001,13-21,11-17,13.0,21.0,11.0,17.0,4.0,4.0,4,86.0,6.64,OttimoTit,B,0.0,0.0,64.6,82.6,0.55
2383240a16771104,BERNARDESCHI,Bologna,C,W;T,12.95,11.6,10-17,10-14,10.0,17.0,10.0,14.0,3.5,1.0,4,86.0,6.63,OttimoTit,B,10.0,20.0,64.6,82.0,0.542
